age,poids,taille,sexe,type_regime,poids_cible,depense,mois
37,82,206,0,0,122,416,1
43,144,196,0,0,164,211,1
49,153,188,0,0,148,511,3
26,246,185,0,0,113,468,3
62,90,167,0,0,90,215,3
24,137,207,0,0,130,484,2
21,84,197,0,0,155,545,2
47,165,188,0,0,142,278,2
36,117,165,0,0,51,305,1
69,107,192,0,0,135,343,1
61,54,184,0,0,112,472,3
22,149,191,0,0,62,454,2
40,212,190,0,0,135,507,3
59,70,174,0,0,52,574,1
62,172,201,0,0,117,412,1
27,191,153,0,0,120,336,2
18,173,167,0,0,144,202,1
19,94,169,0,0,150,483,1
25,189,183,0,0,117,532,2
15,58,157,0,0,90,512,1
30,56,167,0,0,177,229,1
66,78,186,0,0,66,433,2
46,180,174,0,0,128,244,1
47,162,183,0,0,189,446,2
60,171,206,0,0,116,446,1
37,109,209,0,0,173,481,2
64,199,158,0,0,104,584,1
21,105,154,0,0,190,233,1
38,78,160,0,0,64,357,3
60,76,166,0,0,197,224,1
22,206,179,0,0,95,281,1
52,112,162,0,0,130,432,1
63,154,150,0,0,199,324,3
15,167,165,0,0,192,529,1
51,246,161,0,0,173,477,2
31,245,181,0,0,118,468,3
67,131,150,0,0,123,541,3
19,194,151,0,0,177,379,3
51,148,159,0,0,134,396,3
67,106,200,0,0,151,538,2
56,245,153,0,0,112,276,1
63,214,152,0,0,179,369,2
68,68,157,0,0,140,542,3
58,103,165,0,0,61,323,1
15,66,153,0,0,103,554,2
62,221,173,0,0,197,224,2
56,109,181,0,0,121,468,2
46,237,192,0,0,66,525,1
31,118,188,0,0,195,442,2
57,76,162,0,0,85,316,2
24,160,185,0,0,162,326,3
49,154,152,0,0,172,202,1
53,51,205,0,0,171,250,2
40,121,203,0,0,140,398,2
21,79,169,0,0,115,277,2
40,182,206,0,0,80,573,3
16,160,167,0,0,119,516,1
59,67,180,0,0,133,467,2
23,142,176,0,0,81,533,3
40,159,155,0,0,100,308,2
51,67,203,0,0,72,330,1
18,222,160,0,0,153,235,1
34,163,174,0,0,93,253,2
63,159,187,0,0,174,496,3
51,218,195,0,0,141,255,2
15,105,155,0,0,143,585,1
67,72,172,0,0,60,349,1
32,133,188,0,0,83,415,2
69,78,208,0,0,78,563,3
32,57,176,0,0,173,412,2
24,74,175,0,0,89,312,1
50,220,155,0,0,75,248,2
41,212,208,0,0,85,553,1
56,54,150,0,0,125,333,2
22,232,163,0,0,61,338,1
16,57,199,0,0,56,211,2
43,223,178,0,0,89,412,2
25,202,164,0,0,80,591,2
51,68,180,0,0,108,563,3
38,63,186,0,0,96,496,2
67,65,190,0,0,174,355,1
17,114,206,0,0,159,239,3
53,180,204,0,0,143,279,2
17,132,174,0,0,73,499,1
26,100,156,0,0,176,484,2
18,201,195,0,0,127,467,1
23,168,177,0,0,123,588,2
62,54,165,0,0,74,436,2
27,218,150,0,0,120,497,1
20,200,186,0,0,174,373,3
49,93,150,0,0,118,445,1
50,212,164,0,0,79,485,3
40,160,179,0,0,148,560,2
22,249,168,0,0,81,343,1
33,171,202,0,0,159,580,2
57,50,176,0,0,114,363,2
66,234,171,0,0,119,569,3
16,214,185,0,0,153,216,2
40,188,186,0,0,118,262,3
40,106,181,0,0,172,305,3
56,115,160,0,0,71,308,3
38,125,198,0,0,154,455,3
28,145,186,0,0,81,458,3
28,236,201,0,0,199,257,1
21,136,172,0,0,158,232,3
67,151,205,0,0,92,600,1
63,226,191,0,0,185,520,2
47,81,180,0,0,103,507,3
31,206,163,0,0,67,437,2
54,57,205,0,0,192,457,3
47,141,188,0,0,162,283,3
17,82,156,0,0,94,478,1
29,53,162,0,0,178,299,1
61,238,152,0,0,115,317,1
19,162,158,0,0,196,399,1
32,153,203,0,0,179,549,1
70,83,178,0,0,102,236,3
35,92,155,0,0,89,403,3
45,57,176,0,0,196,409,2
33,215,200,0,0,57,373,1
68,191,178,0,0,124,217,3
51,89,204,0,0,110,234,1
43,215,201,0,0,128,537,3
59,72,172,0,0,167,287,3
18,124,201,0,0,152,317,3
30,220,176,0,0,171,471,3
19,106,180,0,0,59,507,3
51,54,195,0,0,60,594,3
70,197,151,0,0,116,418,3
52,217,165,0,0,142,350,1
54,218,195,0,0,116,330,2
53,249,174,0,0,73,218,3
45,54,160,0,0,113,426,2
19,205,167,0,0,81,408,1
19,164,154,0,0,158,345,1
30,109,205,0,0,80,480,3
36,149,204,0,0,66,347,2
37,116,210,0,0,170,515,3
60,141,175,0,0,102,485,3
61,200,183,0,0,107,300,3
16,219,210,0,0,76,363,1
19,156,196,0,0,149,381,2
64,151,192,0,0,183,566,1
68,131,201,0,0,188,402,1
23,113,185,0,0,131,427,1
64,129,199,0,0,153,388,2
55,169,169,0,0,129,555,2
54,220,208,0,0,85,445,3
44,145,179,0,0,154,279,1
23,149,154,0,0,144,333,3
63,227,192,0,0,192,402,1
41,204,185,0,0,55,461,2
61,151,204,0,0,158,590,3
40,123,155,0,0,69,276,2
33,87,191,0,0,182,264,2
55,176,205,0,0,129,473,3
29,110,156,0,0,159,435,1
22,128,161,0,0,70,322,1
32,194,195,0,0,160,427,3
19,203,165,0,0,66,440,1
46,51,183,0,0,94,423,3
68,161,209,0,0,140,383,3
64,247,197,0,0,55,266,3
48,98,172,0,0,189,471,1
69,183,153,0,0,171,573,3
27,97,154,0,0,129,345,3
38,189,161,0,0,66,445,3
46,94,152,0,0,127,453,1
27,138,183,0,0,167,526,2
68,95,207,0,0,99,584,3
19,75,152,0,0,74,235,3
18,200,173,0,0,176,225,1
23,85,152,0,0,90,244,2
19,81,178,0,0,150,230,2
61,245,199,0,0,133,580,2
27,62,186,0,0,188,580,1
36,163,190,0,0,97,209,3
43,185,202,0,0,82,459,2
68,181,162,0,0,171,332,3
64,114,194,0,0,143,467,3
61,190,167,0,0,51,321,2
67,132,180,0,0,94,486,1
41,147,158,0,0,198,460,1
20,234,206,0,0,143,577,3
52,231,150,0,0,90,436,3
70,223,199,0,0,108,524,2
44,62,157,0,0,148,545,2
48,227,210,0,0,191,428,2
48,139,167,0,0,132,528,1
39,154,204,0,0,121,235,1
38,207,174,0,0,118,312,1
42,86,183,0,0,70,203,3
63,227,190,0,0,195,589,2
18,235,197,0,0,89,337,3
62,174,205,0,0,75,255,2
47,227,168,0,0,83,435,1
27,225,181,0,0,85,590,3
15,222,188,0,0,170,457,1
58,135,182,0,0,126,456,2
16,68,189,0,0,71,555,3
53,147,188,0,0,73,228,1
42,53,188,0,0,106,473,3
38,93,206,0,0,167,427,2
33,173,210,0,0,68,451,1
49,200,185,0,0,84,298,1
40,242,192,0,0,119,291,2
22,242,196,0,0,74,359,3
42,187,195,0,0,136,213,1
26,110,170,0,0,91,250,3
54,164,175,0,0,91,484,2
29,127,164,0,0,89,275,1
32,159,175,0,0,156,267,3
24,222,156,0,0,174,324,3
16,86,177,0,0,117,479,2
28,60,192,0,0,158,438,1
18,116,208,0,0,113,350,1
23,175,151,0,0,137,484,2
54,69,157,0,0,67,323,3
63,235,175,0,0,67,446,1
60,123,207,0,0,102,292,3
67,123,176,0,0,69,553,1
28,75,187,0,0,57,257,3
29,195,151,0,0,190,568,2
40,141,205,0,0,133,534,3
60,174,163,0,0,192,497,1
35,186,209,0,0,147,414,2
31,51,150,0,0,59,374,3
52,98,152,0,0,182,517,2
64,134,168,0,0,57,381,1
64,74,174,0,0,108,441,2
29,156,190,0,0,120,499,2
69,170,169,0,0,142,382,2
67,160,188,0,0,143,209,1
65,109,162,0,0,129,285,3
29,60,188,0,0,192,241,2
28,151,177,0,0,134,401,1
34,222,174,0,0,167,567,3
53,176,156,0,0,172,423,1
25,188,173,0,0,56,243,1
38,65,159,0,0,53,218,2
30,222,175,0,0,75,518,2
36,109,169,0,0,107,399,1
57,65,195,0,0,152,354,3
26,98,190,0,0,164,231,3
25,121,158,0,0,92,498,1
62,225,152,0,0,166,407,2
36,102,187,0,0,148,353,1
40,174,180,0,0,138,242,3
20,153,189,0,0,54,443,3
66,127,200,0,0,123,237,2
38,58,182,0,0,198,569,2
